City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
191,el nido,11.1858,119.3956,28.0,78,21,5.39,PH,1699815363
192,minas de marcona,-15.2119,-75.1103,17.18,79,85,7.35,PE,1699815363
193,qarazhal,48.0078,70.7903,2.35,98,100,3.93,KZ,1699815364
194,tyukhtet,56.5389,89.3011,-1.44,92,100,2.3,RU,1699815364
195,aweil,8.7682,27.4002,29.35,51,44,0.85,SS,1699815364
196,kapa'a,22.0752,-159.319,26.99,84,75,8.75,US,1699815366
197,dudinka,69.4058,86.1778,-0.74,98,100,7.6,RU,1699815237
198,bucerias,20.75,-105.3333,31.1,74,100,1.14,MX,1699815366
199,mili,6.0815,171.735,28.74,79,100,8.1,MH,1699815367
200,hengchun,22.0042,120.7439,23.97,75,15,13.15,TW,1699815367
201,kyren,51.6828,102.1408,-6.7,70,74,1.34,RU,1699815367
202,susuman,62.7833,148.1667,-34.18,98,100,0.37,RU,1699815367
203,flying fish cove,-10.4217,105.6791,25.82,83,100,4.12,CX,1699815367
204,la peca,-5.6111,-78.435,31.17,48,68,2.17,PE,1699815368
205,najaf,31.9985,44.3398,20.88,37,100,0.0,IQ,1699815368
206,prince rupert,54.3161,-130.3201,6.83,71,100,7.2,CA,1699815368
207,happy valley-goose bay,53.3168,-60.3315,0.17,59,75,5.14,CA,1699815369
208,andergrove,-21.0833,149.1833,19.8,68,14,4.07,AU,1699815369
209,quimili,-27.6333,-62.4167,23.74,78,92,11.15,AR,1699815369
210,alice springs,-23.7,133.8833,23.75,64,75,2.57,AU,1699815369
211,pindushi,62.9152,34.58,-1.67,73,100,5.44,RU,1699815369
212,kandahar,31.0,65.75,14.06,31,6,1.71,AF,1699815370
213,khandyga,62.6667,135.6,-22.62,99,100,0.71,RU,1699815370
214,adrar,20.5022,-10.0711,25.35,10,5,3.0,MR,1699815370
215,timimoun,29.2639,0.231,25.21,27,0,2.06,DZ,1699815325
216,isabela,6.7085,121.9711,23.03,85,17,0.23,PH,1699815371
217,illapel,-31.6308,-71.1653,18.73,54,21,4.22,CL,1699815371
218,patrocinio,-18.9439,-46.9925,36.04,16,28,1.22,BR,1699815371
219,xinyuan,37.3,99.0,-7.53,31,0,2.89,CN,1699815371
220,le port,-20.9373,55.2919,22.0,87,29,1.23,RE,1699815372
221,katsuura,35.1333,140.3,11.56,86,18,6.18,JP,1699815372
222,mitu,1.1983,-70.1733,33.01,52,96,1.33,CO,1699815372
223,constantia,44.1833,28.65,6.5,42,100,5.64,RO,1699815172
